# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
52              	smoothSolver	3.49736290e-01	2.41597350e-01	1000	2.15794180e-01	4.92922920e-04	1	false	smoothSolver	3.97025160e-02	2.60276340e-03	1	true	smoothSolver	3.96998630e-02	2.60305960e-03	1	true	GAMG	4.97793370e-01	4.64346330e-03	3	true
53              	smoothSolver	3.48486840e-01	2.29341140e-01	1000	2.10260980e-01	4.78742660e-04	1	false	smoothSolver	3.82002170e-02	2.50437880e-03	1	true	smoothSolver	3.81977140e-02	2.50466550e-03	1	true	GAMG	4.88808160e-01	4.13777660e-03	4	true
54              	smoothSolver	3.49684810e-01	2.29064780e-01	1000	2.07892520e-01	4.66284610e-04	1	false	smoothSolver	3.67907460e-02	2.41185610e-03	1	true	smoothSolver	3.67883080e-02	2.41213200e-03	1	true	GAMG	5.43421060e-01	1.93244330e-03	4	true
55              	smoothSolver	3.44750150e-01	2.30899370e-01	1000	2.03477210e-01	4.56308280e-04	1	false	smoothSolver	3.54368270e-02	2.32336800e-03	1	true	smoothSolver	3.54344680e-02	2.32363150e-03	1	true	GAMG	4.88820030e-01	4.83434450e-03	4	true
56              	smoothSolver	3.59914940e-01	2.31258250e-01	1000	2.03050730e-01	4.56356720e-04	1	false	smoothSolver	3.41669230e-02	2.23994320e-03	1	true	smoothSolver	3.41646730e-02	2.24019890e-03	1	true	GAMG	3.85393760e-01	3.34782360e-03	3	true
57              	smoothSolver	3.51983130e-01	2.38272970e-01	1000	2.08255620e-01	4.65692170e-04	1	false	smoothSolver	3.29578790e-02	2.16090490e-03	1	true	smoothSolver	3.29556350e-02	2.16114780e-03	1	true	GAMG	3.89907200e-01	1.55843300e-03	4	true
58              	smoothSolver	3.53583560e-01	2.36631530e-01	1000	2.21047460e-01	4.99644590e-04	1	false	smoothSolver	3.18060410e-02	2.08529580e-03	1	true	smoothSolver	3.18039120e-02	2.08553170e-03	1	true	GAMG	4.21505160e-01	2.72403920e-03	3	true
59              	smoothSolver	3.54500430e-01	2.38266340e-01	1000	2.25981210e-01	5.19812230e-04	1	false	smoothSolver	3.07197750e-02	2.01416940e-03	1	true	smoothSolver	3.07177420e-02	2.01439970e-03	1	true	GAMG	4.37996040e-01	1.98107530e-03	3	true
60              	smoothSolver	3.57236730e-01	2.43118670e-01	1000	2.18339740e-01	5.10555030e-04	1	false	smoothSolver	2.96767210e-02	1.94581140e-03	1	true	smoothSolver	2.96747040e-02	1.94602940e-03	1	true	GAMG	4.35965540e-01	3.01534790e-03	3	true
61              	smoothSolver	3.48644150e-01	2.40386620e-01	1000	2.03001160e-01	4.59304420e-04	1	false	smoothSolver	2.86872110e-02	1.88092040e-03	1	true	smoothSolver	2.86852810e-02	1.88113350e-03	1	true	GAMG	4.17007740e-01	2.20616290e-03	4	true
62              	smoothSolver	3.58604870e-01	2.41030830e-01	1000	1.95868990e-01	4.44996170e-04	1	false	smoothSolver	2.77499950e-02	1.81958650e-03	1	true	smoothSolver	2.77480800e-02	1.81978850e-03	1	true	GAMG	4.73865780e-01	3.81585040e-03	3	true
63              	smoothSolver	3.53416010e-01	2.36364950e-01	1000	2.00964770e-01	4.51053650e-04	1	false	smoothSolver	2.68457400e-02	1.76021450e-03	1	true	smoothSolver	2.68439050e-02	1.76041180e-03	1	true	GAMG	5.00127030e-01	3.33661040e-03	3	true
64              	smoothSolver	3.52259850e-01	2.33404140e-01	1000	2.02864760e-01	4.50384190e-04	1	false	smoothSolver	2.59892890e-02	1.70422770e-03	1	true	smoothSolver	2.59875410e-02	1.70441990e-03	1	true	GAMG	4.90006800e-01	4.36963360e-03	3	true
65              	smoothSolver	3.49897080e-01	2.39090520e-01	1000	2.03049330e-01	4.58885830e-04	1	false	smoothSolver	2.51723230e-02	1.65058770e-03	1	true	smoothSolver	2.51705740e-02	1.65077020e-03	1	true	GAMG	5.09939720e-01	2.65944450e-03	3	true
66              	smoothSolver	3.52376810e-01	2.32124130e-01	1000	2.03532790e-01	4.65356390e-04	1	false	smoothSolver	2.43859660e-02	1.59913370e-03	1	true	smoothSolver	2.43842890e-02	1.59931230e-03	1	true	GAMG	5.06622890e-01	2.07896450e-03	4	true
67              	smoothSolver	3.57905960e-01	2.35541090e-01	1000	2.06527800e-01	4.70572880e-04	1	false	smoothSolver	2.36419730e-02	1.55032590e-03	1	true	smoothSolver	2.36403710e-02	1.55050000e-03	1	true	GAMG	4.55315140e-01	3.51615940e-03	3	true
68              	smoothSolver	3.45127930e-01	2.33279440e-01	1000	2.08211180e-01	4.64178520e-04	1	false	smoothSolver	2.29234990e-02	1.50326130e-03	1	true	smoothSolver	2.29218980e-02	1.50342750e-03	1	true	GAMG	5.18013400e-01	3.85195580e-03	3	true
69              	smoothSolver	3.47014320e-01	2.40497480e-01	1000	2.10905120e-01	4.68045010e-04	1	false	smoothSolver	2.22369680e-02	1.45827520e-03	1	true	smoothSolver	2.22354370e-02	1.45843720e-03	1	true	GAMG	4.65873740e-01	4.62103020e-03	3	true
70              	smoothSolver	3.52108820e-01	2.35744040e-01	1000	2.10424580e-01	4.66192060e-04	1	false	smoothSolver	2.15848010e-02	1.41551200e-03	1	true	smoothSolver	2.15833270e-02	1.41567070e-03	1	true	GAMG	5.04247610e-01	3.25601430e-03	3	true
71              	smoothSolver	3.48775990e-01	2.37733370e-01	1000	2.06624840e-01	4.57421360e-04	1	false	smoothSolver	2.09507870e-02	1.37400590e-03	1	true	smoothSolver	2.09493190e-02	1.37415700e-03	1	true	GAMG	5.30794620e-01	4.01530170e-03	3	true
72              	smoothSolver	3.53920430e-01	2.43362070e-01	1000	2.05271380e-01	4.56829980e-04	1	false	smoothSolver	2.03474310e-02	1.33440190e-03	1	true	smoothSolver	2.03460180e-02	1.33455000e-03	1	true	GAMG	4.80729840e-01	3.62295350e-03	3	true
73              	smoothSolver	3.60616160e-01	2.38583170e-01	1000	2.09621310e-01	4.59859160e-04	1	false	smoothSolver	1.97703940e-02	1.29666370e-03	1	true	smoothSolver	1.97689870e-02	1.29680480e-03	1	true	GAMG	5.61371050e-01	4.32304130e-03	3	true
74              	smoothSolver	3.57611150e-01	2.38082250e-01	1000	2.14186750e-01	4.71255980e-04	1	false	smoothSolver	1.92108740e-02	1.25993460e-03	1	true	smoothSolver	1.92095170e-02	1.26007250e-03	1	true	GAMG	5.03299360e-01	3.25196890e-03	3	true
75              	smoothSolver	3.52039960e-01	2.35500740e-01	1000	2.14916840e-01	4.74790650e-04	1	false	smoothSolver	1.86766620e-02	1.22497400e-03	1	true	smoothSolver	1.86753530e-02	1.22510910e-03	1	true	GAMG	4.78075090e-01	4.58074190e-03	3	true
76              	smoothSolver	3.53657760e-01	2.33681550e-01	1000	2.16093110e-01	4.73583840e-04	1	false	smoothSolver	1.81644900e-02	1.19137910e-03	1	true	smoothSolver	1.81631850e-02	1.19150800e-03	1	true	GAMG	4.30685860e-01	3.07540510e-03	3	true
